"Objeto del Gasto","Auxiliar","Denominación","Desc. Larga"
"034","000","Contratados","Codifica las retribuciones que correspondan a las contratados para funciones no permanentes.  
El Artículo 539 de la Ley 13640 30/01/1968 vigente hasta el 31/03/2011. El Artículo 55 de la Ley 18719 de 27/12/2010 lo deroga.
Asignación presupuestal en el Inciso 05=MEF
"
"034","001","Contratación Directores y Gerentes - MGAP","Codifica las retribuciones por concepto de contrataciones a Directores y Gerentes del Inciso 07 ""MGAP"" de acuerdo a lo establecido por los Artículos 275 y 297 de la Ley de Presupuesto Nacional 19355 de 19/12/2015, las cuales serán financiadas con créditos presupuestales de los Objetos del Gasto 095/002 ""Fdo. para Contratos Temporales"" y 092/000 ""Partidas Globales a distribuir"". Se pasaron los créditos al objeto 057/007 ""Contratos Directores y Gerentes"" por redefinición del objeto."
"035","000","Retribución cuidadores","Codifica las retribuciones al personal por concepto de cuidadores con asignaciòn crèdito en los Incisos 27 ""INAU"" y 29 ""ASSE"" por Presupuesto Nacional N.19355 19/12/2015. En el INAU reasignaciòn complementaria del obj.gto. 299/000 segùn A127 L19438 14/10/2016 (Rendic. Ctas 2015)."
"036","000","Reincorporados y postergados","Codifica las retribuciones de funcionarios que fueron amparados por el régimen dispuesto legalmente y que se mantienen transitoriamente hasta ser incorporados, si corresponde, en cargos o funciones contratadas, en aplicaciòn de los Arts.9 y 14 de Ley 15783 (Ley de funcionarios Destituidos) 28/11/1985 y Dto.N.119/987 de 10/03/1987 (Recomposiciòn de Carrera Administrativa). Asignaciòn prevista por Ley de Pto Nal. 19355 19/12/2015 en los Incisos 02 (Art.96-UE 011), 05, 11, 13, 18 y 29."
"036","001","Excedentarios reincorporados","Codifica las retribuciones de funcionarios reincorporados que se encuentren en la situaciòn prevista en el inc.2do. del Artìculo 48 de la Ley 18719 27/12/2010 (PE reingresa a funcs. hasta 60 años, que lo soliciten, si ONSC por Res. fundada lo estime conveniente. Objeto del gasto previsto para Presupuesto Nal 19355 de 19/12/2015."
"037","000","Suplencias","Codifica las retribuciones del personal por concepto de suplencias. Inc.02-UE011 Se reasignò al OGto 092/000 por A94 Ley 19355 19/12/2015. (ISEF A.236 L.15903). Presupuestado en Incisos 17 =TCtas e Inc.18 =CElect. (A.208 y 324 Constituciòn) e Inc.25-ANEP (maestros y profesores, A8 10513 22/08/1944 y 21 L11285 2/07/1949). Normativa: Inc.04-MI A130 L.16320 (UE 034), Inc.11 MEC-SODRE pers.artìstico A.20 L.14550, Inc.16 - PJud. A635 L.18719 Mèd. forenses e Inc.29-ASSE A.455 L.15809 Inasistencias."
"038","000","Personal alta especialización estratégica A.716 L.16736","Codifica las retribuciones de funcionarios contratados para el desempeño de funciones de alta especialización, en puestos técnicos de asesoramiento, inmediatamente dependientes del Director de una Unidad Ejecutora; a efectos de establecer un sistema de alta gerencia y fortalecer la capacidad de la Administración Central para cumplir con sus cometidos sustanciales. A.714-  L 16.736 Derogado por el A 41 L.18719 .  Vigente  A.716 L.16736"
"039","000","Retribuciones Junta Asesora Económica y Fin-URSEA-URSEC","Codifica las retribuciones de los integrantes de la Jta Asesora en Materia Económica y Finan.del Estado en el Inc.34=JUTEP creada por el A4 Ley 17060 23/12/1998, y las retribuciones de los integrantes de URSEA- Unidad Reguladora del Servicio de Energía y Agua (Inc.02 UE006), y de URSEC- Unidad Reguladora del Servicio de Comunicaciones (Inc.02 UE009), creadas por el A5 Ley 17598 13/12/2002.






























































































"
"041","000","Sueldos progresivos","Clasifica los auxiliares del objeto del gasto 041 ""Sueldos Progresivos"", o sea complementos del sueldo básico, originados en planillas del Presupuesto de Sueldos, diferentes según sus respectivos escalafones."
"041","001","Sueldos progresivos - TCA ","Codifica las remuneraciones de los Directores de Depto.Técnico y Actuarios del TCA que se aumentarán progresivamente hasta equipararse  con la del Escribano de Actuación del PJ, y la del Secretario del Departamento Jurídico con respecto al Dctor. del Depto. Jurídico. Se hará cada 2 años y será igual al 25 % de la diferencia. Sólo se aplica si los cargos  se encuentran en régimen de dedicación exclusiva. Presupuestado y Exclusivo para el Inciso 19-TCA. A.169 L.16462 11/01/1994."
"041","003","Permanencia en el grado escalafón militar","Clasifica la asignación suplementaria a la que tienen derecho los oficiales que habiendo cumplido con todas las exigencias que determina la Ley para ascender al grado inmediato superior, no pueden hacerlo por carecer de vacantes según L.12801/A.42 de 30/11/1960 y Dto 985/975 y L.13892/A.32 de 19/10/1970 y Dto 14800/978. Presupuestada en el Inciso 03 =MDefensa."
"041","004","Diferencia de ascenso a oficial - MDN","Clasifica la diferencia en el sueldo básico que se origina en el personal subalterno de las Fuerzas Armadas, Inciso 03 MDN, al ascender a personal superior (Oficiales) que, por aplicación del Artìculo 7 de la Ley 14800 del 30/06/1978 inciso final, no le pueden ser disminuídas sus asignaciones por ningún concepto. Presupuestada en el Inciso 03 =MDefensa."
"041","006","Prima por permanencia en el cargo ","Clasifica la retribución que tienen derecho los docentes con +25 años de servicio y causal jubilatoria, pueden continuar en actividad 5 años (sueldo básico +20%)  y en cargos de dirección o inspección otros 5 años más (sueldo bàsico +10%). Si tuvieren de 28 o 32 de actividad docente percibirán un 5% o 10% de aumento respectivamente. Art.2 Ley 11021 de 5/01/1948 y Art. 9 Dec.70/981 18/02/1981.Es de cargo RRGG segùn Art.577 Ley 16736 5/01/1996."
"041","007","Progresivos p/antigüedad docente - UDELAR ","Clasifica la retribución dispuesta por Ley Orgánica de la UDELAR Nº 12549 de 16/10/1958 y Estatuto del personal Docente de 15/4/1968. Cálculo: se aplica coeficiente del 1,5 % sobre el monto según escala de horas docentes del  grado 1 (cualquiera sea el grado real del docente) teniendo en cuenta la cantidad de horas que corresponda al docente por los años de actividad del mismo, con un máximo de 30 años. Asignaciòn prevista para el Inciso 26 =UDELAR"
"041","008","Diferencia de pasividad militar a reincorporados ","Clasifica la diferencia de sueldo que perciben los militares que en situación de retiro pueden ser reincorporados a la actividad, en los casos de movilización total o parcial de las Fuerzas Armadas, segùn Artìculo 184 Ley 14157 de 21/02/1974 - Ley Orgànica Militar. (Ley 16145 9/10/1990 derogada por Ley 18087 5/01/2007). Asignaciòn prevista en el Inciso 03 =Ministerio de Defensa. Financia diferencia para transformaciòn de cargos Inc.03 UE018 por A39 L19535 25/09/2017-Rendiciòn 2016."
"042","000","Compensaciones","Clasifica los auxiliares correspondientes a retribuciones complementarias de las básicas, que se otorgan a todos o algunos funcionarios de acuerdo a normas legales y reglamentarias. En general de carácter particular, para cada oficina y/o grupo ocupacional. Asignado por Ley de Presupuesto Nacional 19355 de 19/12/2015 en el Inciso 03""Mrio. de Defensa Nacional"""
"042","001","Compensaciones congeladas","Clasifica las compensaciones que estàn definidas por el A11 Ley 14189 30/04/1974, apartado II, como ""congeladas"" que se agregan al sueldo actual pero sin formar parte de él, y con un régimen de aumento propio. (A7 de Ley 17930 derogado por A42 L18719). Asignaciòn prevista en varios Incisos del Presupuesto Nacional. Ver clasificador de Objetos No Trasponibles."
"042","002","Compensación diaria por permanencia","Clasifica la compensación especial liquida, por una sola vez, equivalente al 50% de las asignaciones nominales que perciben los funcionarios de la C.de Representantes y titulares indicados en el A19 de la Res.de Cámara de fecha 25/7/85,y según Artìculo único de la Resolución de C.de Representantes N.946 del 13/8/93. Para ANEP codifica la comp.de los funcionarios que realizan jornadas extensas por razones de servicios, o aquellos que atiendan el pago de presupuesto mensual de sueldo."
"042","004","Retribución complementaria obreros y encargados S.C.R.A.","Clasifica la compensaciòn especial que reciben los obreros de SCRA cuando se les destina  a realizar trabajos que no sean para la Armada. Se fijan como diferencia entre las remuneraciones de los cargos que permanentemente ocupan  y las que son fijadas por convenios colectivos de astilleros y varaderos (grupo 13) según Artìculo 22 de Ley 16002 25/11/1988, exclusivo para Fin 1.2. (CONVIRTIO AL SIMPLI - Fin.1.1 al 042/528). A partir del 9/12/2016 no lleva mas aumento porcentual sino general."
"042","006","Permanencia a la orden Secretarías y Ministros - TCR","Objeto habilitado a pedido del TCR para pagar Permanencia a la orden de Secretarías y Ministros.
Se nutre desde al objeto 042/014 Compensación por permanenecia a la orden.Ajusta a padrón en Inciso 04 U.E 002"
"042","007","Permanencia a la orden funcionarios - TCR","Objeto habilitado a pedido del TCR para pagar Permanencia a la orden de Funcionarios
Se nutre desde al objeto 042/014 Compensación por permanenecia a la orden.Ajusta a padrón en Inciso 04 U.E 002"
"042","010","Prima técnica","Clasifica la compensación especial por prima tècnica, asignada por Presupuesto Nal 19355 de 19/12/2015 en los Incisos Adm. Central y de los orgs. de A220 CR. HISTÒRICO:(Dentro del MDN - Pers. Militar y equiparado-con aportes, en MI-Policía Ejecutiva, ""PF"" y equiparados-sin aportes, por A.140 L.16736 5/01/1996). MEF -DGCasinos-según se indique en los Presupuestos Operativos y de Inversiones aprobados por Decreto del P.E.Ajusta a padrón en Inciso 04 U.E 002"
"042","012","Compensación al cargo escalafón militar","Compensación al cargo para jefes y oficiales superiores de las FFAA y  para comandantes en Jefe del Ejército, la Armada y la Fuerza Aérea por Artìculo 30 de Ley 13892 19/10/1970. Asignaciòn de crèdtio en el Inc.03=MDN :AJUSTA A PADRON e INHERENTE A CARGO. Leyes asociadas: Ley 14106/A.89 -Fisc.de Corte y Proc.Gral de la Nac., Ley 14189/A.159 - excepciòn, Ley 14252/A52 - Ofic. Subalternos - Ley 14252/A137 -Pers. Policìa Ejecutiva (MInterior) y  Ley 14800/A4 -Modifica porcentajes del A30 L13892."
"042","013","Compensación por dedicación especial","Compensaciòn especial que se otorga en forma autónoma y vinculada a  ""permanencia a la orden"" según disposiciones propias de cada organismo. Asignaciones presupuestales en Incisos 01, Adm.Central (05, 11 y 24) y organismos 220 CR (Inc.19 -Receptores de Audiencias, 25 a 27). Contempla la remuneración de quienes realicen tareas de investigación en el ámbito público, la que será acumulable con cualquier otra remuneración proveniente de orgs.públicos y que no supere 60 horas(A.38 L.18046 17/10/2006)"
"042","014","Compensación por permanencia a la orden","Clasifica comp.especial para Presidencia (50% L.16736/82, 16462/25, L15809/111)ESTIMATIVA: func.en Comisiòn Inc.02. MDN:AJUSTA A PADRON e INHERENTE (Pers.Superior,sub. y civiles equip) L16462/27 y L16736/115).Incrementa A.54 L.19670.  Aeronáutica: 30% (L.16170/119). MTSS-15 func. y hasta 30% de sus remun (L.16226/292). Func.del Poder Judicial, TCtas L.17296 A 470, Corte Electoral y T.C.A. MEF- L15809/223 y MIEM Tecnología Nuclear 50% y Secretaría 60 %. FGN-A294 L19670 15/10/2018."
"042","015","Compensación por asiduidad","Clasifica la compensaciòn por asiduidad (categorizado como incentivo) que reciben funcionarios de distintas reparticiones, con autorización legal expresa: Inc.16: A.317 L.16226 del 29/10/1991. Inc.33: A144 L19438 de 14/10/2016: Integra el sueldo al grado. Inc.01: Resoluciòn de la Camara de Senadores  A12 y siguientes de 31/07/2007, incentivo a la asiduidad, permanencia y puntualidad, eficacia en la gestión (10%)."
"042","016","Dedicación exclusiva","Clasifica el complemento (compensación especial) que por concepto perciban los Directores de División en régimen de dedicación exclusiva, p/determinar retribución de Sub-directores de Div., Alguacil-80% y Dir.de Depto-70% del Esc.C. Se aplica A546 L. 16736 5/01/1996. Y los que no opten por el régimen de dedicación exclusiva, será incrementada en un 25%. Se aplica A547 L. 16736 de 5/01/1996. Asignación prevista enel Inc. 19. TCA. (MTSS- A.324 L.17930 y A240 L.18172). Inc. 33 art145 inc4y5 L19438."
"042","017","Asiduidad Convenio COFE-MEF","Clasifica el complemento por concepto de Asiduidad p/ Convenio COFE-MEF,segùn Dto.Reglamentario. Se financia en aplicaciòn  A672 de L19.355 de 19/12/2015 y se reasigna crédito desde el Inciso 23 ""Diversos Créditos"" (Obj.Gto. 099/095) con cargo a RR.GG para los Inc. d/la Administración Central (02 al 15y 36) p/Recomposición de Estruc Remunerativas. Solo traspone entre si.Distribuida la partida, y si el Inciso necesitara crédito debe nutrirlo con sus creditos,obj con dispon,no aj padr,no inh cargo"
"042","018","Compensaciones específicas s/disposiciones marco normativo","Clasifica compensaciones específicas tales como: 1) MEF-UE008- Loterías A9 L15716 6/02/1985, 2) Corte Electoral: Incentivo para prestar funciones en las Oficinas Inscriptoras de todo el paìs (25%) segùn A419 la Ley 18362 de 6/10/2008. Asignaciòn por Ley de Presupuesto Nacional 19355 de 19/12/2015 en los Incisos 03, 05, 11, 18, 24 y 26."
"042","019","Compensación por riesgo de vuelo","Clasifica la compensación especial a favor de los pilotos aviadores militares y navales, navegantes con diversos roles, ingenieros especialistas, navegantes observadores, alumnos de la Escuela Militar de Aeronáutica, Escuela de Especialización Aeronaval y de la Escuela de Guerra Naval, en cursos de observadores aéreos según lo establecido por A.99 L.14106 de 14/03/1973.
Exclusivo Inciso 03-MDN"
"042","020","Compensación personal p/mantenimiento nivel retributivo","Clasifica la compensaciòn personal asignada a  funcionarios para mantener el nivel retributivo, que perciben en las oficinas donde revisten presupuestalmente. Es de carácter personal y se absorbe con el ascenso o regularización. No se pierde por la redistribución del funcionario. (Cuando se efectúe la adecuación correspondiente se incluirá como compensación personal recodificándose con el  objeto 042/038 al 042/610). Ver clasificador de Objetos No Trasponibles.
"
"042","022","Compensación mensual ","Clasifica la compensación mensual del 5,80% sobre el sueldo básico para cargos de Sub-oficial mayor hasta Cabo de 1a.; del 7,40%, 10,40% y 8,30% sobre el sueldo básico para cargos de  Cabo de 2a., Soldado de 1a., y Soldado de 2a. respectivamente, según lo establecido por A.53 L.16226 de 29/10/1991. Asignaciòn de crèdito prevista por Presupuesto Nacional en el Inciso 03=MDN. AJUSTA A PADRON e INHERENTE A CARGO. No será tomada en cuenta para el cálculo de hogar constituído."
"042","023","Compensación riesgo especial","Clasifica la compensación especial para el personal del Ejército (50%) que se encuentre directa y materialmente afectado a funciones de desactivación de artefactos explosivos, segùn A.117 L.16736 de 5/01/1996. Para la Armada (UE 018) Art 64 Func Riesgo Cnia Especial Antiterrorista, 65 L.18996 (personal embarcado)  Art.80 L.18996 de 7/11/2012. (Fusileros Navales). Asignaciòn prevista en el Inciso 03 =MDN. Incrementa A 51 L 19670
Dichas compensaciones no estarán sujetas a montepío."
"042","024","Compensación adicional 30% sobre sueldos funcionarios MDN","Clasifica la compensación especial adicional del 30% sobre sueldos para el personal de distintas dependencias del Inc.03=MDN según Art.83 de Ley 14106 de 14/03/1973 y Art.162 Ley 18149 de 30/04/1974 (30%), con funciones expresamente detalladas en dicha norma (represión, contrabando, relevamiento cartográfico, etc). Se exceptúan las funciones desempeñadas en establecimientos militares de reclusión, las que se retribuyen según Art.163 de Ley 14189 de 30/04/1974."
"042","025","Prima técnica Suboficial Mayor, Sargento 1ro","Clasifica la retribución que perciben los Suboficiales Mayores, Sargentos 1os. y equivalentes equiparados a tales grados por concepto de prima técnica, sujeta a montepío, segùn A54 de Ley 16226 de 29/10/1991, para el Inciso 03=MDN. AJUSTA A PADRON e INHERENTE A CARGO. Asignaciòn prevista por Presupuesto en los Incisos 03 y 32 =INUMET(ex-Meteorologìa)"
"042","026","Compensación docente","Clasifica la compensaciòn docente en aplicaciòn del Dto Ley 15022 -  Escalafones Docentes de 9/05/1980 (A1-equiparados a ANEP y A2) y Decretos: 731/980 (A6,7y13); 70/981 (A8) - 172/980 (A2 al 12) y 732/980. Asiganciòn prevista en el Inciso 02 UE011 ""Deporte"". AJUSTA A PADRON e INHERENTE A CARGO. En DGCasinos según se indique en los Presupuestos Operativos y de Inversiones aprobados por Decreto del P.E."
"042","027","Compensación docente acumulable","Clasifica la compensaciòn docente que se define como acumulable en aplicaciòn del Dto Ley 15022 -  Escalafones Docentes de 9/05/1980 (A1-equiparados a ANEP) y Dto.731/980 (A15 - docentes cuya principal función sea la docencia directa a educandos atípicos, (sordomudos, ciegos, etc.) percibirán una compensación adicional acumulable). Asignaciòn prevista en el Inciso 02 UE 011 ""Deporte""."
"042","028","Retribuciones especiales docentes - UDELAR","Clasifica la compensación especial destinada a la actualización académica del personal docente que se hará efectiva con las retribuciones de los meses de enero, mayo y setiembre, cuyo monto será equivalente al 7% del sueldo del mes, de acuerdo a lo establecido por la Resolución del Consejo Directivo Central  19-21/12/1991."
"042","029","Compensación adicional 30% sobre sueldos con aporte-MDN","Clasifica la compensación especial adicional del 30% sobre sueldos para el personal de distintas dependencias del Inc.03=MDN según Art.83 de Ley 14106 de 14/03/1973 y Art.162 Ley 18149 de 30/04/1974 (30%), con funciones expresamente detalladas en dicha norma (represión, contrabando, relevamiento cartográfico, etc). Se exceptúan las funciones desempeñadas en establecimientos militares de reclusión, las que se retribuyen según Art.163 de Ley 14189 de 30/04/1974.Con Aporte"
